          ordinal hint RVA      name
        157   9C 000A0F80 image_HandlerDelete
        158   9D 000A1300 image_Mime2Fourcc
        159   9E 000A1070 image_Type2Fourcc
        160   9F 00053AB0 input_Close
        161   A0 0003A9E0 input_Control
        162   A1 000538F0 input_Create
        163   A2 00057840 input_CreateFilename
        164   A3 0003E7C0 input_DecoderCreate
        165   A4 0003E980 input_DecoderDecode
        166   A5 0003E7F0 input_DecoderDelete
        167   A6 0003EB60 input_DecoderDrain
        168   A7 0003EBA0 input_DecoderFlush
        169   A8 00053AF0 input_GetItem
        170   A9 000574A0 input_Read
        171   AA 00053940 input_Start
        172   AB 000539F0 input_Stop
        173   AC 00032A80 input_item_AddInfo
        174   AD 00032310 input_item_AddOpaque
        175   AE 00031D00 input_item_AddOption
        176   AF 00031FC0 input_item_AddOptions
        177   B0 00032550 input_item_AddSlave
        178   B1 00034C60 input_item_Copy
        179   B2 00031140 input_item_CopyOptions
        180   B3 000330E0 input_item_DelInfo
        181   B4 00031A60 input_item_GetDuration
        182   B5 00032610 input_item_GetInfo
        183   B6 00031600 input_item_GetMeta
        184   B7 000316E0 input_item_GetName
        185   B8 00031B30 input_item_GetNowPlayingFb
        186   B9 00031670 input_item_GetTitleFbName
        187   BA 00031760 input_item_GetURI
        188   BB 00031550 input_item_HasErrorWhenReading
        189   BC 00031CD0 input_item_Hold
        190   BD 00031C50 input_item_IsArtFetched
        191   BE 00031C10 input_item_IsPreparsed
        192   BF 00033960 input_item_MergeInfos
        193   C0 00031580 input_item_MetaMatch
        194   C1 00034AC0 input_item_NewExt
        195   C2 00031CE0 input_item_Release
        196   C3 00033650 input_item_ReplaceInfos
        197   C4 00031A90 input_item_SetDuration
        198   C5 00031090 input_item_SetMeta
        199   C6 00031720 input_item_SetName
        200   C7 000317A0 input_item_SetURI
        201   C8 00059000 input_item_WriteMeta
        202   C9 00035D40 input_item_node_AppendItem
        203   CA 00035E30 input_item_node_AppendNode
        204   CB 00034E60 input_item_node_Create
        205   CC 00034EA0 input_item_node_Delete
        206   CD 00032440 input_item_slave_GetType
        207   CE 000324E0 input_item_slave_New
        208   CF 000595C0 input_resource_GetAout
        209   D0 000597B0 input_resource_HoldAout
        210   D1 00059870 input_resource_New
        211   D2 000596D0 input_resource_PutAout
        212   D3 000598C0 input_resource_Release
        213   D4 000597F0 input_resource_ResetAout
        214   D5 0005A760 input_resource_Terminate
        215   D6 0005A460 input_resource_TerminateVout
        216   D7 00038760 input_vaControl
        217   D8 0001FD00 intf_Create
        218   D9 00002200 libvlc_ArtRequest
        219   DA 00020180 libvlc_InternalAddIntf
        220   DB 00001540 libvlc_InternalCleanup
        221   DC 000014F0 libvlc_InternalCreate
        222   DD 000020C0 libvlc_InternalDestroy
        223   DE 0001E400 libvlc_InternalDialogClean
        224   DF 0001E380 libvlc_InternalDialogInit
        225   E0 00001640 libvlc_InternalInit
        226   E1 0009CE00 libvlc_InternalKeystoreClean
        227   E2 0009CD90 libvlc_InternalKeystoreInit
        228   E3 000200F0 libvlc_InternalPlay
        229   E4 00002220 libvlc_MetadataCancel
        230   E5 00002170 libvlc_MetadataRequest
        231   E6 0009F280 libvlc_Quit
        232   E7 0009F240 libvlc_SetExitHandler
        233   E8 000AF730 mdate
        234   E9 00019310 module_config_free
        235   EA 000191C0 module_config_get
        236   EB 00018FC0 module_exists
        237   EC 00018DD0 module_find
        238   ED 00018490 module_get_capability
        239   EE 00018480 module_get_help
        240   EF 00018440 module_get_name
        241   F0 00018420 module_get_object
        242   F1 000184B0 module_get_score
        243   F2 000184C0 module_gettext
        244   F3 0001A350 module_list_free
        245   F4 0001A360 module_list_get
        246   F5 00018D20 module_need
        247   F6 000183F0 module_provides
        248   F7 00018D50 module_unneed
        249   F8 000AF880 msleep
        250   F9 000AF740 mwait
        251   FA 0008A900 net_Accept
        252   FB 0008A7D0 net_AcceptSingle
        253   FC 00089930 net_Connect
        254   FD 0008B3F0 net_ConnectDgram
        255   FE 00089660 net_Gets
        256   FF 00088D70 net_Listen
        257  100 0008B050 net_ListenClose
        258  101 0008BB20 net_OpenDgram
        259  102 00089800 net_Printf
        260  103 000893A0 net_Read
        261  104 0008C2E0 net_SetCSCov
        262  105 00089530 net_Write
        263  106 000898A0 net_vaPrintf
        264  107 000AC880 picture_BlendSubpicture
        265  108 00099F00 picture_Clone
        266  109 00099EA0 picture_Copy
        267  10A 00099C80 picture_CopyPixels
        268  10B 00099C30 picture_CopyProperties
        269  10C 0009A290 picture_Export
        270  10D 00099A10 picture_Hold
        271  10E 00099610 picture_New
        272  10F 00099260 picture_NewFromFormat
        273  110 00098D90 picture_NewFromResource
        274  111 00099A20 picture_Release
        275  112 00098930 picture_Reset
        276  113 00098990 picture_Setup
        277  114 0009A7F0 picture_fifo_Delete
        278  115 0009A5F0 picture_fifo_Flush
        279  116 0009A4E0 picture_fifo_New
        280  117 0009A7A0 picture_fifo_OffsetDate
        281  118 0009A5B0 picture_fifo_Peek
