          ordinal hint RVA      name
        648  287 0005A8C0 vlc_sd_probe_Add
        649  288 000B13D0 vlc_sdp_Start
        650  289 000AEE90 vlc_sem_destroy
        651  28A 000AEE60 vlc_sem_init
        652  28B 000AEEA0 vlc_sem_post
        653  28C 000AEEC0 vlc_sem_wait
        654  28D 0009BD60 vlc_sem_wait_i11e
        655  28E 0009C350 vlc_sendmsg_i11e
        656  28F 0009C350 vlc_sendto_i11e
        657  290 000ADBD0 vlc_socket
        658  291 000ADC40 vlc_socketpair
        659  292 000AD720 vlc_stat
        660  293 000926B0 vlc_str2keycode
        661  294 0008F9A0 vlc_strcasestr
        662  295 0005CE80 vlc_stream_Block
        663  296 0005B5D0 vlc_stream_CommonNew
        664  297 0005B700 vlc_stream_Delete
        665  298 0005CCF0 vlc_stream_Eof
        666  299 0005E230 vlc_stream_FilterDefaultReadDir
        667  29A 0005DE90 vlc_stream_FilterNew
        668  29B 0005E430 vlc_stream_MemoryNew
        669  29C 0005B7F0 vlc_stream_NewMRL
        670  29D 0005B760 vlc_stream_NewURL
        671  29E 0005BEB0 vlc_stream_Peek
        672  29F 0005BC10 vlc_stream_Read
        673  2A0 0005CBF0 vlc_stream_ReadBlock
        674  2A1 0005CEE0 vlc_stream_ReadDir
        675  2A2 0005C1B0 vlc_stream_ReadLine
        676  2A3 0005B9E0 vlc_stream_ReadPartial
        677  2A4 0005CD00 vlc_stream_Seek
        678  2A5 0005CCE0 vlc_stream_Tell
        679  2A6 0005D520 vlc_stream_directory_Attach
        680  2A7 0005D6B0 vlc_stream_extractor_Attach
        681  2A8 0005DE50 vlc_stream_extractor_CreateMRL
        682  2A9 0005D1D0 vlc_stream_fifo_Close
        683  2AA 0005D020 vlc_stream_fifo_New
        684  2AB 0005D0C0 vlc_stream_fifo_Queue
        685  2AC 0005D130 vlc_stream_fifo_Write
        686  2AD 0005CE00 vlc_stream_vaControl
        687  2AE 000AD010 vlc_strerror
        688  2AF 000ACFB0 vlc_strerror_c
        689  2B0 0008E810 vlc_strfinput
        690  2B1 0008E730 vlc_strftime
        691  2B2 000AF5A0 vlc_testcancel
        692  2B3 000AF4B0 vlc_thread_id
        693  2B4 000AF4A0 vlc_thread_self
        694  2B5 000AEF80 vlc_threadvar_create
        695  2B6 000AF030 vlc_threadvar_delete
        696  2B7 000AF0E0 vlc_threadvar_get
        697  2B8 000AF090 vlc_threadvar_set
        698  2B9 000B0660 vlc_timer_create
        699  2BA 000B06B0 vlc_timer_destroy
        700  2BB 000B07B0 vlc_timer_getoverrun
        701  2BC 000B06E0 vlc_timer_schedule
        702  2BD 0008C8B0 vlc_tls_ClientCreate
        703  2BE 0008C9C0 vlc_tls_ClientSessionCreate
        704  2BF 0008C950 vlc_tls_Delete
        705  2C0 0008CF60 vlc_tls_GetLine
        706  2C1 0008CC80 vlc_tls_Read
        707  2C2 0008C7F0 vlc_tls_ServerCreate
        708  2C3 0008CC30 vlc_tls_ServerSessionCreate
        709  2C4 0008C990 vlc_tls_SessionDelete
        710  2C5 0008D0E0 vlc_tls_SocketOpen
        711  2C6 0008D2D0 vlc_tls_SocketOpenAddrInfo
        712  2C7 0008D490 vlc_tls_SocketOpenTCP
        713  2C8 0008D6D0 vlc_tls_SocketOpenTLS
        714  2C9 0008D150 vlc_tls_SocketPair
        715  2CA 0008CE40 vlc_tls_Write
        716  2CB 0008F850 vlc_towc
        717  2CC 000AD8E0 vlc_unlink
        718  2CD 00018220 vlc_ureduce
        719  2CE 000912B0 vlc_uri2path
        720  2CF 00091670 vlc_uri_compose
        721  2D0 00090E80 vlc_uri_decode
        722  2D1 00090DB0 vlc_uri_decode_duplicate
        723  2D2 00090F30 vlc_uri_encode
        724  2D3 00091E10 vlc_uri_fixup
        725  2D4 00091860 vlc_uri_resolve
        726  2D5 000A1720 vlc_vaLog
        727  2D6 000ADBC0 vlc_write
        728  2D7 0009C270 vlc_write_i11e
        729  2D8 000ADBD0 vlc_writev
        730  2D9 0009C260 vlc_writev_i11e
        731  2DA 0008DD00 vlc_xml_decode
        732  2DB 0008DF30 vlc_xml_encode
        733  2DC 000B9940 vlm_Control
        734  2DD 000B61C0 vlm_Delete
        735  2DE 000B5910 vlm_ExecuteCommand
        736  2DF 000C0B60 vlm_MessageAdd
        737  2E0 000BA990 vlm_MessageDelete
        738  2E1 000BAC20 vlm_MessageNew
        739  2E2 000BA920 vlm_MessageSimpleNew
        740  2E3 000B5560 vlm_New
        741  2E4 000767E0 vout_ChangeAspectRatio
        742  2E5 00076140 vout_Close
        743  2E6 00076520 vout_FlushSubpictureChannel
        744  2E7 00076540 vout_GetPicture
        745  2E8 00076600 vout_GetSnapshot
        746  2E9 000789F0 vout_OSDEpg
        747  2EA 0007A940 vout_OSDIcon
        748  2EB 00076F10 vout_OSDMessage
        749  2EC 0007A7F0 vout_OSDSlider
        750  2ED 00076DC0 vout_OSDText
        751  2EE 00076590 vout_PutPicture
        752  2EF 00076460 vout_PutSubpicture
        753  2F0 000764D0 vout_RegisterSubpictureChannel
        754  2F1 00075E30 vout_Request
        755  2F2 0006E2B0 vout_display_GetDefaultDisplaySize
        756  2F3 0006F450 vout_display_PlacePicture
        757  2F4 0006F770 vout_display_SendMouseMovedDisplayCoordinates
        758  2F5 0007EFF0 vout_window_Delete
        759  2F6 0007EE50 vout_window_New
        760  2F7 000A6F50 xml_Create
        761  2F8 000A6FE0 xml_Delete
        762  2F9 000A7000 xml_ReaderCreate
        763  2FA 000A70A0 xml_ReaderDelete
        764  2FB 000A70D0 xml_ReaderReset
